Bait,Prey,Abundance,Reproduce,Specificity ,MIST,Virus
NS5,Q13247,0.001285828,0.95254568,0.505170178,0.621440855,DENV
NS5,Q15029,0.000767823,0.877474717,0.550496569,0.620960621,DENV
NS5,Q8IXM2,0.000252855,0.529752331,0.760369654,0.618844247,DENV
NS5,P62314,0.004555215,0.971874472,0.484015634,0.616409394,DENV
NS5,Q96DI7,0.000118618,0.54349931,0.74278079,0.613619298,DENV
NS5,O43865,6.04539E-05,0.529717211,0.750047981,0.61293321,DENV
NS5,Q9Y5J1,0.000124746,0.533721274,0.747274509,0.612758896,DENV
NS5,Q13428,2.07504E-05,0.472733216,0.780447817,0.610313541,DENV
NS5,Q9BUR4,0.000108942,0.211719867,0.935722209,0.607472328,DENV
NS5,Q13573,0.000215481,0.103466177,1,0.606230401,DENV
NS5,Q14011,0.003679556,0.944411593,0.480385409,0.604658105,DENV
NS5,P48729,4.19163E-05,0.486576707,0.753443436,0.59976796,DENV
NS5,Q14692,4.45478E-05,0.625574185,0.667488095,0.599422743,DENV
NS5,Q9UJV9,0.000160685,0.732634477,0.599372097,0.598077017,DENV
NS5,O43290,5.77134E-05,0.661348952,0.63170733,0.591549929,DENV
NS5,Q8N567,9.86811E-05,0.427651365,0.764366026,0.585374507,DENV
NS5,Q96EY4,0.000518047,0.857412532,0.497901639,0.583939764,DENV
NS5,Q9H5H4,0.000154323,0.649762018,0.624968373,0.583661025,DENV
NS5,Q8WWY3,0.000131061,0.64164842,0.628992115,0.583112937,DENV
NS5,Q14444,0.002303506,0.955228087,0.427054671,0.577935273,DENV
NS5,O43660,0.000450077,0.872899216,0.477112925,0.577505099,DENV
NS5,P39019,0.012209373,0.967990432,0.414722774,0.576165382,DENV
NS5,P62306,0.004312851,0.91445674,0.446867216,0.5751192,DENV
NS5,P05455,0.002687509,0.897781598,0.456535323,0.574663694,DENV
NS5,Q8WXX5,0.00086125,0.919162162,0.443060256,0.574320002,DENV
NS5,Q8WUA4,1.7564E-05,0.388690501,0.768470881,0.574071483,DENV
NS5,Q08170,0.000774858,0.918805366,0.441030344,0.573031163,DENV
NS5,Q13523,6.59958E-05,0.739669921,0.549411122,0.572054091,DENV
NS5,Q9Y2P8,5.68216E-05,0.576714906,0.647898689,0.571157015,DENV
NS5,O15446,6.53056E-05,0.323645322,0.801565464,0.570173402,DENV
NS5,O15523,0.000604042,0.633533908,0.611201543,0.57017007,DENV
NS5,Q9H0S4,0.000216935,0.710249279,0.564053803,0.57011527,DENV
NS5,P05114,0.000742672,3.60674E-11,1,0.570059414,DENV
NS5,P18754,0.000349493,3.60674E-11,1,0.570027959,DENV
NS5,Q96B54,0.000172883,3.60674E-11,1,0.570013831,DENV
NS5,Q9BW61,0.000150263,3.60674E-11,1,0.570012021,DENV
NS5,P62308,0.000144049,3.60674E-11,1,0.570011524,DENV
NS5,O75940,0.000132877,3.60674E-11,1,0.57001063,DENV
NS5,Q9Y5V0,7.20243E-05,3.60674E-11,1,0.570005762,DENV
NS5,O60809,6.43125E-05,3.60674E-11,1,0.570005145,DENV
NS5,Q9H008,5.36375E-05,3.60674E-11,1,0.570004291,DENV
NS5,O95777,4.88394E-05,3.60674E-11,1,0.570003907,DENV
NS5,Q9UNZ5,4.75439E-05,3.60674E-11,1,0.570003804,DENV
NS5,Q8TB37,4.61466E-05,3.60674E-11,1,0.570003692,DENV
NS5,P60510,4.43605E-05,3.60674E-11,1,0.570003549,DENV
NS5,P14174,4.43399E-05,3.60674E-11,1,0.570003547,DENV
NS5,P47813,4.41907E-05,3.60674E-11,1,0.570003535,DENV
NS5,D6RGH6,3.38582E-05,3.60674E-11,1,0.570002709,DENV
NS5,Q9Y6P5,3.12804E-05,3.60674E-11,1,0.570002502,DENV
NS5,Q6P6C2,3.04367E-05,3.60674E-11,1,0.570002435,DENV
NS5,P04279,3.01465E-05,3.60674E-11,1,0.570002412,DENV
NS5,Q8N9Q2,2.9095E-05,3.60674E-11,1,0.570002328,DENV
NS5,Q8N9N8,2.77496E-05,3.60674E-11,1,0.57000222,DENV
NS5,Q99784,2.55114E-05,3.60674E-11,1,0.570002041,DENV
NS5,P38432,2.50603E-05,3.60674E-11,1,0.570002005,DENV
NS5,Q9NV31,2.50223E-05,3.60674E-11,1,0.570002002,DENV
NS5,Q9NTU7,2.47845E-05,3.60674E-11,1,0.570001983,DENV
NS5,Q9BPZ3,2.43843E-05,3.60674E-11,1,0.570001951,DENV
NS5,Q9UNP9,2.17308E-05,3.60674E-11,1,0.570001738,DENV
NS5,Q9NP50,2.13363E-05,3.60674E-11,1,0.570001707,DENV
NS5,Q68D10,2.06899E-05,3.60674E-11,1,0.570001655,DENV
NS5,Q15428,2.05409E-05,3.60674E-11,1,0.570001643,DENV
NS5,Q6T310,2.00299E-05,3.60674E-11,1,0.570001602,DENV
NS5,Q9NQX3,1.96325E-05,3.60674E-11,1,0.570001571,DENV
NS5,Q9UGY1,1.90956E-05,3.60674E-11,1,0.570001528,DENV
NS5,Q5T7P8,1.88381E-05,3.60674E-11,1,0.570001507,DENV
NS5,Q9H6Y2,1.80271E-05,3.60674E-11,1,0.570001442,DENV
NS5,O95478,1.79756E-05,3.60674E-11,1,0.570001438,DENV
NS5,Q9H4I0,1.7069E-05,3.60674E-11,1,0.570001366,DENV
NS5,A5D6W6,1.68059E-05,3.60674E-11,1,0.570001344,DENV
NS5,Q9H8G2,1.59364E-05,3.60674E-11,1,0.570001275,DENV
NS5,Q96JP5,1.5848E-05,3.60674E-11,1,0.570001268,DENV
NS5,Q9HAN9,1.57387E-05,3.60674E-11,1,0.570001259,DENV
NS5,A6NHQ2,1.55788E-05,3.60674E-11,1,0.570001246,DENV
NS5,Q56P03,1.54576E-05,3.60674E-11,1,0.570001237,DENV
NS5,P05814,1.53333E-05,3.60674E-11,1,0.570001227,DENV
NS5,Q14392,1.4681E-05,3.60674E-11,1,0.570001174,DENV
NS5,P49459,1.46207E-05,3.60674E-11,1,0.57000117,DENV
NS5,Q96IZ7,1.41152E-05,3.60674E-11,1,0.570001129,DENV
NS5,P17026,1.41118E-05,3.60674E-11,1,0.570001129,DENV
NS5,Q16775,1.39329E-05,3.60674E-11,1,0.570001115,DENV
NS5,Q7RTU5,1.32085E-05,3.60674E-11,1,0.570001057,DENV
NS5,A2A3N6,1.28377E-05,3.60674E-11,1,0.570001027,DENV
NS5,O75530,1.2162E-05,3.60674E-11,1,0.570000973,DENV
NS5,O75132,1.2005E-05,3.60674E-11,1,0.57000096,DENV
NS5,Q99689,1.1709E-05,3.60674E-11,1,0.570000937,DENV
NS5,A6NNN8,1.15739E-05,3.60674E-11,1,0.570000926,DENV
NS5,P16591,1.14124E-05,3.60674E-11,1,0.570000913,DENV
NS5,Q9NWQ4,1.12492E-05,3.60674E-11,1,0.5700009,DENV
NS5,P50995,1.12265E-05,3.60674E-11,1,0.570000898,DENV
NS5,A8K0Z3,1.07381E-05,3.60674E-11,1,0.570000859,DENV
NS5,Q9BV38,9.94748E-06,3.60674E-11,1,0.570000796,DENV
NS5,Q9UBM8,9.64113E-06,3.60674E-11,1,0.570000771,DENV
NS5,Q13064,9.50629E-06,3.60674E-11,1,0.570000761,DENV
NS5,Q99714,9.40758E-06,3.60674E-11,1,0.570000753,DENV
NS5,Q68D86,8.93868E-06,3.60674E-11,1,0.570000715,DENV
NS5,Q7RTS6,8.49677E-06,3.60674E-11,1,0.57000068,DENV
NS5,P0CB48,8.33725E-06,3.60674E-11,1,0.570000667,DENV
NS5,Q9BRD0,7.65575E-06,3.60674E-11,1,0.570000612,DENV
NS5,Q14669,7.09632E-06,3.60674E-11,1,0.570000568,DENV
NS5,Q9Y6F8,6.88365E-06,3.60674E-11,1,0.570000551,DENV
NS5,Q13144,6.72237E-06,3.60674E-11,1,0.570000538,DENV
NS5,P20042,6.59612E-06,3.60674E-11,1,0.570000528,DENV
NS5,Q96N64,6.58702E-06,3.60674E-11,1,0.570000527,DENV
NS5,Q9UHK0,6.48975E-06,3.60674E-11,1,0.570000519,DENV
NS5,Q8WVT3,6.3304E-06,3.60674E-11,1,0.570000506,DENV
NS5,Q9BZJ0,6.07434E-06,3.60674E-11,1,0.570000486,DENV
NS5,P29376,5.89116E-06,3.60674E-11,1,0.570000471,DENV
NS5,Q96CB9,5.87072E-06,3.60674E-11,1,0.57000047,DENV
NS5,Q86TV6,5.73287E-06,3.60674E-11,1,0.570000459,DENV
NS5,P52756,5.11041E-06,3.60674E-11,1,0.570000409,DENV
NS5,O43663,5.10194E-06,3.60674E-11,1,0.570000408,DENV
NS5,Q96AX9,4.91225E-06,3.60674E-11,1,0.570000393,DENV
NS5,Q8NE71,4.90529E-06,3.60674E-11,1,0.570000392,DENV
NS5,Q9UBB9,4.8607E-06,3.60674E-11,1,0.570000389,DENV
NS5,Q9UMF0,4.84968E-06,3.60674E-11,1,0.570000388,DENV
NS5,Q9WJR5,4.64788E-06,3.60674E-11,1,0.570000372,DENV
NS5,O43148,4.60934E-06,3.60674E-11,1,0.570000369,DENV
NS5,O00139,4.56785E-06,3.60674E-11,1,0.570000365,DENV
NS5,P53041,4.43994E-06,3.60674E-11,1,0.570000355,DENV
NS5,Q9UQ13,3.8972E-06,3.60674E-11,1,0.570000312,DENV
NS5,P54098,3.87014E-06,3.60674E-11,1,0.57000031,DENV
NS5,A4D2P6,3.79719E-06,3.60674E-11,1,0.570000304,DENV
NS5,Q86UW7,3.73076E-06,3.60674E-11,1,0.570000298,DENV
NS5,Q96MX3,3.72638E-06,3.60674E-11,1,0.570000298,DENV
NS5,Q6UXZ4,3.44726E-06,3.60674E-11,1,0.570000276,DENV
NS5,Q8TE82,3.41633E-06,3.60674E-11,1,0.570000273,DENV
NS5,Q8N1M1,3.32193E-06,3.60674E-11,1,0.570000266,DENV
NS5,Q86X10,3.23703E-06,3.60674E-11,1,0.570000259,DENV
NS5,Q9HCM2,2.87202E-06,3.60674E-11,1,0.57000023,DENV
NS5,O60344,2.53082E-06,3.60674E-11,1,0.570000202,DENV
NS5,Q76N89,2.01728E-06,3.60674E-11,1,0.570000161,DENV
NS5,Q8NFU7,1.99973E-06,3.60674E-11,1,0.57000016,DENV
NS5,O15020,1.99E-06,3.60674E-11,1,0.570000159,DENV
NS5,Q6GYQ0,1.57597E-06,3.60674E-11,1,0.570000126,DENV
NS5,P98160,1.00362E-06,3.60674E-11,1,0.57000008,DENV
NS5,Q9Y3R5,9.78036E-07,3.60674E-11,1,0.570000078,DENV
NS5,Q9Y6R7,9.23207E-07,3.60674E-11,1,0.570000074,DENV
NS5,Q9C0A1,9.21128E-07,3.60674E-11,1,0.570000074,DENV
NS5,Q6UN15,0.000110889,0.311057971,0.805867884,0.568223855,DENV
NS5,O60832,0.000435502,0.905341906,0.440750413,0.568132243,DENV
NS5,Q9NRF9,0.000310173,0.482015443,0.687933722,0.56085244,DENV
NS5,P08865,0.005012688,0.933856038,0.40345343,0.557219083,DENV
NS5,O43172,3.98969E-05,0.36329169,0.749899872,0.55459821,DENV
NS5,O95400,0.000139883,0.643972762,0.575640513,0.55351675,DENV
NS5,P62304,0.005443987,0.921602532,0.404302068,0.553448584,DENV
NS5,P42696,7.38129E-05,0.526298806,0.643468116,0.550987313,DENV
NS5,Q9GZL7,6.88552E-05,0.465926197,0.680324487,0.550864635,DENV
NS5,Q01844,4.91442E-05,0.248929088,0.811153348,0.549486521,DENV
NS5,Q86V81,0.004039659,0.964728233,0.369877522,0.548808241,DENV
NS5,P09661,0.001368686,0.856432333,0.436347195,0.548578713,DENV
NS5,P46781,0.009765104,0.982613862,0.355142725,0.547127413,DENV
NS5,P56537,0.00013744,0.424521342,0.696852712,0.545799511,DENV
NS5,Q8IYB3,5.24152E-05,0.688460473,0.533754833,0.545205614,DENV
NS5,O75683,0.000185714,0.615525926,0.577322126,0.544522543,DENV
NS5,P17844,0.003132204,0.933859371,0.381240241,0.544408294,DENV
NS5,Q92841,0.002588244,0.974436952,0.352615681,0.542250931,DENV
NS5,Q01081,0.001258058,0.873988357,0.413692866,0.541801503,DENV
NS5,P35268,0.010328977,0.963551667,0.356574963,0.54131713,DENV
NS5,P84103,0.00612544,0.983480873,0.342886973,0.540153915,DENV
NS5,O60883,7.58243E-05,0.426979293,0.683051139,0.538787968,DENV
NS5,A8MWD9,0.00139131,0.773891673,0.469130979,0.538378048,DENV
NS5,P56270,0.000144682,0.554103392,0.60194087,0.537054058,DENV
NS5,P18621,0.005923016,0.977950616,0.336880643,0.534778523,DENV
NS5,Q00059,0.000981316,0.895492757,0.386511528,0.533812542,DENV
NS5,Q8TDD1,0.000280889,0.798483617,0.445209503,0.533261154,DENV
NS5,Q96MK2,1.70066E-05,0.481855638,0.637054717,0.531772023,DENV
NS5,Q13243,0.0009897,0.863715908,0.401024488,0.530963702,DENV
NS5,P49207,0.004200459,0.990507108,0.321053749,0.530014162,DENV
NS5,Q9H7E9,0.001027465,0.878295224,0.390307686,0.529960907,DENV
NS5,Q9BRJ6,0.00044258,0.707402656,0.493957611,0.529182174,DENV
NS5,P61254,0.007263453,0.988479579,0.319390485,0.528601505,DENV
NS5,Q15050,9.08168E-05,0.532022217,0.597161105,0.526596871,DENV
NS5,Q02878,0.006335694,0.993343402,0.313007227,0.526591166,DENV
NS5,P62910,0.003867365,0.957649189,0.334784333,0.526313675,DENV
NS5,P16989,0.004415695,0.948563061,0.339198582,0.525693519,DENV
NS5,Q99575,0.000115938,0.825366808,0.414207252,0.524985791,DENV
