Bait,Prey,Abundance,Reproduce,Specificity ,MIST,Virus
NS4A,Q9NZ43,6.98948E-05,0.350000923,1,0.692505915,DENV
NS4A,O94874,4.58523E-05,0.350000923,1,0.692503991,DENV
NS4A,Q9H9S5,0.000103118,0.349841374,1,0.69245273,DENV
NS4A,O43156,1.73285E-05,0.34788127,1,0.691759831,DENV
NS4A,Q92621,9.29082E-05,0.633881046,0.82392993,0.691505859,DENV
NS4A,O75306,0.000169527,0.663237638,0.804327679,0.690613513,DENV
NS4A,Q53EU6,5.79883E-05,0.342450042,1,0.689862154,DENV
NS4A,Q9TNN7,0.000156807,0.338784049,1,0.688586962,DENV
NS4A,P30049,0.00015896,0.33861929,1,0.688529468,DENV
NS4A,Q53HI1,0.000106805,0.337420505,1,0.688105721,DENV
NS4A,Q9UFG5,0.000203489,0.326314393,1,0.684226317,DENV
NS4A,Q9NWS8,6.19974E-05,0.322749805,1,0.682967392,DENV
NS4A,Q9UJZ1,0.000936395,0.945619634,0.617276449,0.682889359,DENV
NS4A,P17858,0.000143745,0.851941895,0.673611219,0.682149558,DENV
NS4A,O75155,8.19726E-05,0.772008174,0.722131843,0.681824569,DENV
NS4A,P20700,0.000604861,0.933529718,0.621331064,0.680942496,DENV
NS4A,Q96S52,0.000337985,0.956501283,0.603170643,0.678609754,DENV
NS4A,P61106,0.000127599,0.308314779,1,0.677920381,DENV
NS4A,Q14739,0.000159276,0.733460897,0.731039836,0.673416763,DENV
NS4A,Q9BVK6,0.001207844,0.981505257,0.574795599,0.671256959,DENV
NS4A,P27105,0.000251499,0.550107816,0.837931589,0.670178861,DENV
NS4A,Q16795,0.000371057,0.703556471,0.739050335,0.667533141,DENV
NS4A,Q7Z7H5,0.000961163,0.914092272,0.607651932,0.66637079,DENV
NS4A,Q9H490,0.000243556,0.966665474,0.564622733,0.660187358,DENV
NS4A,Q92544,5.94066E-05,0.254297258,1,0.659008793,DENV
NS4A,Q15363,0.001325888,0.96356923,0.56335004,0.658464824,DENV
NS4A,P51970,0.001607497,0.919664017,0.588908054,0.657688596,DENV
NS4A,O14880,0.002194347,0.9001861,0.594441116,0.654072119,DENV
NS4A,Q86T03,0.000274513,0.892175642,0.59914444,0.653795766,DENV
NS4A,Q16891,0.004555988,0.983683203,0.539868055,0.652378392,DENV
NS4A,O95573,0.000339943,0.790046715,0.658959841,0.652150655,DENV
NS4A,Q86SK9,0.000106771,0.553248832,0.799191164,0.649184596,DENV
NS4A,O14980,0.000919573,0.982797997,0.535186636,0.649109247,DENV
NS4A,O14949,0.000374129,0.541509189,0.805925849,0.64893588,DENV
NS4A,Q92928,0.000620398,0.520249671,0.818874689,0.64889559,DENV
NS4A,Q9H9B4,0.000562516,0.854697484,0.613070345,0.648639217,DENV
NS4A,P55060,0.000372021,0.969023254,0.531988001,0.642421061,DENV
NS4A,Q9Y277,0.005397174,0.97690379,0.521205783,0.639435397,DENV
NS4A,Q5VYJ5,0.000189948,0.881904498,0.579080316,0.63875755,DENV
NS4A,Q16850,0.000188736,0.774490461,0.644216218,0.638290004,DENV
NS4A,Q96TA2,9.73052E-05,0.88577881,0.570455766,0.635190154,DENV
